indice;fecha;base
1;jul-20;416568970
2;ago-20;367003960
3;sep-20;347765400
4;oct-20;334705440
5;nov-20;334677480
6;dic-20;458839500
7;ene-21;415083000
8;feb-21;328329970
9;mar-21;359797990
10;abr-21;347460000
11;may-21;358756140
12;jun-21;336919930
13;jul-21;364554200
14;ago-21;372155080
15;sep-21;396239670
16;oct-21;396161120
17;nov-21;412412980
18;dic-21;509671600
19;ene-22;420904170
20;feb-22;392745110
21;mar-22;436215330
22;abr-22;444373000
23;may-22;418003030
24;jun-22;409880500
25;jul-22;462448500
26;ago-22;475147100
27;sep-22;476523820
28;oct-22;464978080
29;nov-22;472773130
30;dic-22;513664420
31;ene-23;393275030
